tile_id,cloud_cover,date,spatial_cover,links
T14SQG,0,2022-03-15,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022074T171051.v2.0/HLS.S30.T14SQG.2022074T171051.v2.0.Fmask.tif'}"
T14SQG,1,2022-04-09,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022099T170849.v2.0/HLS.S30.T14SQG.2022099T170849.v2.0.Fmask.tif'}"
T14SQG,1,2022-04-14,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022104T170851.v2.0/HLS.S30.T14SQG.2022104T170851.v2.0.Fmask.tif'}"
T14SQG,0,2022-06-13,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022164T170901.v2.0/HLS.S30.T14SQG.2022164T170901.v2.0.Fmask.tif'}"
T14SQG,0,2022-06-28,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022179T170859.v2.0/HLS.S30.T14SQG.2022179T170859.v2.0.Fmask.tif'}"
T14SQG,0,2022-07-13,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022194T170901.v2.0/HLS.S30.T14SQG.2022194T170901.v2.0.Fmask.tif'}"
T14SQG,0,2022-07-18,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022199T170859.v2.0/HLS.S30.T14SQG.2022199T170859.v2.0.Fmask.tif'}"
T14SQG,0,2022-07-23,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022204T170901.v2.0/HLS.S30.T14SQG.2022204T170901.v2.0.Fmask.tif'}"
T14SQG,0,2022-08-12,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022224T170901.v2.0/HLS.S30.T14SQG.2022224T170901.v2.0.Fmask.tif'}"
T14SQG,0,2022-09-11,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQG.2022254T170911.v2.0/HLS.S30.T14SQG.2022254T170911.v2.0.Fmask.tif'}"
